name,price,link
BPM Biroi Rice 1kg,৳120,https://www.shwapno.com/BPM-Biroi-Rice-1-Kg
AG Food Rice Flour Roti 400gm,"৳120
  Per Piece",https://www.shwapno.com/ag-food-rice-flour-roti-400-gm
AG Food Rice Flour Roti 400gm,"৳120
  Per Piece",https://www.shwapno.com/ag-food-rice-flour-roti-400-gm
SmartHeart Chicken Rice&Cheese 85gm,"৳125
৳112.50
  Per Piece",https://www.shwapno.com/smartheart-chicken-ricecheese-85g
SmartHeart Chicken Rice&Cheese 85gm,"৳125
৳112.50
  Per Piece",https://www.shwapno.com/smartheart-chicken-ricecheese-85g
BPM Kaun Rice 500gm,৳130,https://www.shwapno.com/BPM-Kaun-Rice-500g
BPM Kaun Rice 500gm,৳130,https://www.shwapno.com/BPM-Kaun-Rice-500g
Shwapno Chinigura Rice 1kg,"৳155
৳140",https://www.shwapno.com/Shwapno-Chinigura-Rice-1Kg
Shwapno Chinigura Rice 1kg,"৳155
৳140",https://www.shwapno.com/Shwapno-Chinigura-Rice-1Kg
Fresh Chinigura Rice 1kg,৳165,https://www.shwapno.com/Fresh-Chinigura-Rice-1kg
Fresh Chinigura Rice 1kg,৳165,https://www.shwapno.com/Fresh-Chinigura-Rice-1kg
BPM Binne Rice (Dekichata) White 1kg,"৳170
  Per Piece",https://www.shwapno.com/BPM-Binne-Rice-Dekichata-White-1Kg
BPM Binne Rice (Dekichata) White 1kg,"৳170
  Per Piece",https://www.shwapno.com/BPM-Binne-Rice-Dekichata-White-1Kg
BPM Binne Rice (Dekichata) Red 1kg,"৳175
  Per Piece",https://www.shwapno.com/BPM-Binne-Rice-Dekichata-Red-1Kg
BPM Binne Rice (Dekichata) Red 1kg,"৳175
  Per Piece",https://www.shwapno.com/BPM-Binne-Rice-Dekichata-Red-1Kg
BPM Black Rice 1kg,৳230,https://www.shwapno.com/BPM-Black-Rice-1kg
BPM Black Rice 1kg,৳230,https://www.shwapno.com/BPM-Black-Rice-1kg
Thai Choice Rice Vinegar 300gm,"৳375
  Per Piece",https://www.shwapno.com/thai-choice-rice-vinegar-300g
Thai Choice Rice Vinegar 300gm,"৳375
  Per Piece",https://www.shwapno.com/thai-choice-rice-vinegar-300g
Teer Nazirshail Rice 5kg,৳415,https://www.shwapno.com/Teer-Nazirshail-Rice-5kg
Teer Nazirshail Rice 5kg,৳415,https://www.shwapno.com/Teer-Nazirshail-Rice-5kg
Thai Choice Rice Vermicelli 200gm,"৳495
  Per Piece",https://www.shwapno.com/thai-choice-rice-vermicelli-200-gm
Thai Choice Rice Vermicelli 200gm,"৳495
  Per Piece",https://www.shwapno.com/thai-choice-rice-vermicelli-200-gm
Thai Choice Rice Paper Spring Roll 200gm,"৳525
  Per Piece",https://www.shwapno.com/thai-choice-rice-paper-spring-roll-200-gm
Thai Choice Rice Paper Spring Roll 200gm,"৳525
  Per Piece",https://www.shwapno.com/thai-choice-rice-paper-spring-roll-200-gm
ACI Pure Chinigura Rice 1kg,"৳160
৳150
  Per Piece",https://www.shwapno.com/aci-pure-chinigura-rice-1kg
ACI Pure Chinigura Rice 1kg,"৳160
৳150
  Per Piece",https://www.shwapno.com/aci-pure-chinigura-rice-1kg
ACI Pure Najirshail Rice 10kg,"৳980
  Per Piece",https://www.shwapno.com/aci-pure-najirshile-rice-10kg
ACI Pure Najirshail Rice 10kg,"৳980
  Per Piece",https://www.shwapno.com/aci-pure-najirshile-rice-10kg
ACI Nutrilife Brown Rice 1kg,"৳135
৳125
  Per Piece",https://www.shwapno.com/aci-nutrilife-brown-rice-1kg
ACI Nutrilife Brown Rice 1kg,"৳135
৳125
  Per Piece",https://www.shwapno.com/aci-nutrilife-brown-rice-1kg
ACI Pure Puffed Rice 500gm,"৳75
৳67
  Per Piece",https://www.shwapno.com/aci-pure-puffed-rice-500gm
ACI Pure Puffed Rice 500gm,"৳75
৳67
  Per Piece",https://www.shwapno.com/aci-pure-puffed-rice-500gm
ACI Pure Flattened Rice 500gm,"৳70
  Per Piece",https://www.shwapno.com/aci-pure-flattened-rice-500g
ACI Pure Flattened Rice 500gm,"৳70
  Per Piece",https://www.shwapno.com/aci-pure-flattened-rice-500g
ACI Nutrilife Black Rice 1kg,"৳250
৳230
  Per Piece",https://www.shwapno.com/aci-nutrilife-black-rice-1kg
ACI Nutrilife Black Rice 1kg,"৳250
৳230
  Per Piece",https://www.shwapno.com/aci-nutrilife-black-rice-1kg
Fortune Basmati Biryani Rice 1kg,"৳480
৳380
  Per Piece",https://www.shwapno.com/fortune-basmati-rice-biriyani-1kg
Fortune Basmati Biryani Rice 1kg,"৳480
৳380
  Per Piece",https://www.shwapno.com/fortune-basmati-rice-biriyani-1kg
1,ACI Pure Chinigura Rice 2kg,৳310,https://www.shwapno.com/aci-pure-chinigura-rice-2kg
2,ACI Pure Chinigura Rice 2kg,৳310,https://www.shwapno.com/aci-pure-chinigura-rice-2kg
3,ACI Pure Miniket (Jirashail) Rice 10kg,৳950,https://www.shwapno.com/aci-pure-miniket-rice-10kg-poly
4,ACI Pure Miniket (Jirashail) Rice 10kg,৳950,https://www.shwapno.com/aci-pure-miniket-rice-10kg-poly
5,Shwapno Rice Flour 1kg,৳95,https://www.shwapno.com/shwapno-premium-rice-flour-1kg
6,Shwapno Rice Flour 1kg,৳95,https://www.shwapno.com/shwapno-premium-rice-flour-1kg
7,Cerelac Rice & Milk 400(±)50gm (BIB),৳400,https://www.shwapno.com/cerelac-rice-and-milk-40050gm-bib
8,Cerelac Rice & Milk 400(±)50gm (BIB),৳400,https://www.shwapno.com/cerelac-rice-and-milk-40050gm-bib
9,Cerelac Rice & Potato with Chicken 400(±)50gm,৳480,https://www.shwapno.com/cerelac-rice-and-potato-with-chicken-40050gm
10,Cerelac Rice & Potato with Chicken 400(±)50gm,৳480,https://www.shwapno.com/cerelac-rice-and-potato-with-chicken-40050gm
11,Nazirshail Rice Loose (S) (Paijam),৳66,https://www.shwapno.com/nazirshail-rice-loose-p-paijam
12,Nazirshail Rice Loose (S) (Paijam),৳66,https://www.shwapno.com/nazirshail-rice-loose-p-paijam
13,Miniket Rice Loose(S) (BRRI-28),৳66,https://www.shwapno.com/miniket-rice-loose-s-brri-28
14,Miniket Rice Loose(S) (BRRI-28),৳66,https://www.shwapno.com/miniket-rice-loose-s-brri-28
15,Nazirshail Rice Loose (P) (Sompa Katari),৳82,https://www.shwapno.com/nazirshail-rice-loose-p-sompa-katari
16,Nazirshail Rice Loose (P) (Sompa Katari),৳82,https://www.shwapno.com/nazirshail-rice-loose-p-sompa-katari
17,Haiko Rice Flour 1000gm,৳90,https://www.shwapno.com/haiko-rice-flour-1000-gm
18,Haiko Rice Flour 1000gm,৳90,https://www.shwapno.com/haiko-rice-flour-1000-gm
19,Kalijira Rice Loose - Premium Kg,৳130,https://www.shwapno.com/kalijira-rice-loose-premium-11
20,Kalijira Rice Loose - Premium Kg,৳130,https://www.shwapno.com/kalijira-rice-loose-premium-11
21,Chinigura Rice Loose (P) (BRRI-34),৳150,https://www.shwapno.com/chinigura-rice-loose-p-brri-34
22,Chinigura Rice Loose (P) (BRRI-34),৳150,https://www.shwapno.com/chinigura-rice-loose-p-brri-34
23,Fortune Rice Bran Oil 1Ltr. (Pet),৳225,https://www.shwapno.com/fortune-rice-bran-oil-pet-1-liter
24,Fortune Rice Bran Oil 1Ltr. (Pet),৳225,https://www.shwapno.com/fortune-rice-bran-oil-pet-1-liter
25,Basmati Rice Loose - Premium Kg,৳290,https://www.shwapno.com/basmati-rice-loose-p-2
26,Basmati Rice Loose - Premium Kg,৳290,https://www.shwapno.com/basmati-rice-loose-p-2
27,Fresh Rice Bran Oil 5Ltr.,"৳1,080",https://www.shwapno.com/fresh-rice-bran-oil-5-ltr
28,Fresh Rice Bran Oil 5Ltr.,"৳1,080",https://www.shwapno.com/fresh-rice-bran-oil-5-ltr
29,Noah Rice Cooker S.Pot DS 1.8Ltr.,"৳2,999",https://www.shwapno.com/noah-rice-cooker-d-pot-2-8-ltr-2
30,Noah Rice Cooker S.Pot DS 1.8Ltr.,"৳2,999",https://www.shwapno.com/noah-rice-cooker-d-pot-2-8-ltr-2
31,NOAH Rice Cooker DRUM DAS 1.8Ltr.,"৳3,999",https://www.shwapno.com/s203121-noah-rice-cooker-drum-das-1-8ltr
32,NOAH Rice Cooker DRUM DAS 1.8Ltr.,"৳3,999",https://www.shwapno.com/s203121-noah-rice-cooker-drum-das-1-8ltr
33,Rupchanda Chinigura Rice 1kg,৳155,https://www.shwapno.com/rupchanda-chinigura-rice-1kg
34,Rupchanda Chinigura Rice 1kg,৳155,https://www.shwapno.com/rupchanda-chinigura-rice-1kg
35,ACI Nutrilife Rice Bran Oil 5Ltr. (Pet),"৳1,120",https://www.shwapno.com/aci-nutrilife-rice-bran-oil-bottle-5-liter
36,ACI Nutrilife Rice Bran Oil 5Ltr. (Pet),"৳1,120",https://www.shwapno.com/aci-nutrilife-rice-bran-oil-bottle-5-liter
37,Pran Flattened Rice 500gm (Chira),৳70,https://www.shwapno.com/pran-flattened-rice-chira-500gm
38,Pran Flattened Rice 500gm (Chira),৳70,https://www.shwapno.com/pran-flattened-rice-chira-500gm
39,Pran Chinigura Rice 1kg,৳160,https://www.shwapno.com/pran-chinigura-rice-1kg
40,Pran Chinigura Rice 1kg,৳160,https://www.shwapno.com/pran-chinigura-rice-1kg
41,Pran Chinigura Rice 2kg,৳300,https://www.shwapno.com/pran-chinigura-rice-2kg
42,Pran Chinigura Rice 2kg,৳300,https://www.shwapno.com/pran-chinigura-rice-2kg
43,Pran Nazirshail Rice 5kg,৳480,https://www.shwapno.com/pran-nazirshail-rice-5kg
44,Pran Nazirshail Rice 5kg,৳480,https://www.shwapno.com/pran-nazirshail-rice-5kg
45,Shwapno Atop Rice 1kg,৳117,https://www.shwapno.com/shwapno-premium-atop-rice-1kg
46,Shwapno Atop Rice 1kg,৳117,https://www.shwapno.com/shwapno-premium-atop-rice-1kg
